종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지
136340,6,KBSTAR 중기우량회사채,105520,2,20,0.02,105492.0,0.9501,1381,145,591,채권,KBSTAR,False,False,False
266370,2,KODEX IT,22290,2,270,1.23,22284.0,50.5126,33465,742,580,국내 업종/테마,KODEX,False,False,False
304780,1,HANARO 200선물레버리지,30260,2,475,1.59,30346.0,91.9755,3493,103,575,국내 시장지수,HANARO,False,True,False
123310,3,TIGER 인버스,4255,5,-40,-0.93,4263.0,-29.5902,777440,3322,570,국내 파생,TIGER,True,False,False
337140,2,KODEX 코스피대형주,15185,2,90,0.6,15247.0,39.5101,1472,22,547,국내 업종/테마,KODEX,False,False,False
174360,4,KBSTAR 중국본토대형주CSI100,23580,2,70,0.3,,18.6175,62430,1463,542,해외 주식,KBSTAR,False,False,False
137610,5,TIGER 농산물선물Enhanced(H),5560,5,-55,-0.98,,22.7322,63030,350,500,원자재,TIGER,False,False,True
130730,6,KOSEF 단기자금,100905,2,10,0.01,100906.0,0.1429,237193,23933,485,채권,KOSEF,False,False,False
122260,6,KOSEF 통안채1년,101120,2,15,0.01,101115.0,0.2508,546820,55286,475,채권,KOSEF,False,False,False
305080,6,TIGER 미국채10년선물,11655,5,-35,-0.3,,-2.38,44710,520,466,채권,TIGER,False,False,False
292050,1,KBSTAR KRX300,20105,2,210,1.06,20102.0,38.4963,10624,212,462,국내 시장지수,KBSTAR,False,False,False
365000,2,TIGER KRX인터넷K-뉴딜,11515,2,235,2.08,11583.0,18.8619,129331,1477,461,국내 업종/테마,TIGER,False,False,False
245340,4,TIGER 미국다우존스30,17225,2,220,1.29,,12.8925,20446,351,448,해외 주식,TIGER,False,False,False
117700,2,KODEX 건설,3230,2,110,3.53,3229.0,36.8421,775675,2465,439,국내 업종/테마,KODEX,False,False,False
359210,1,KODEX 코스피TR,14395,2,75,0.52,14489.0,36.836999999999996,93,1,432,국내 시장지수,KODEX,False,False,False
368590,4,KBSTAR 미국나스닥100,11255,2,170,1.53,,,775478,8708,428,해외 주식,KBSTAR,False,False,False
272570,6,KBSTAR 중장기국공채액티브,104305,2,40,0.04,104285.0,0.3416,142,14,417,채권,KBSTAR,False,False,False
